,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1541.1938400000001
1,FDW14,OUT017,1220.54456
2,NCN55,OUT010,524.51724
3,FDQ58,OUT017,2274.7057
4,FDY38,OUT027,4712.1995
5,FDH56,OUT046,2325.1067599999997
6,FDL48,OUT018,575.78384
7,FDC48,OUT027,1519.22244
8,FDN33,OUT045,1397.4476200000001
9,FDA36,OUT017,3065.9424200000003
10,FDT44,OUT017,1736.53956
11,FDQ56,OUT045,1630.4110400000002
12,NCC54,OUT019,808.9469999999999
13,FDU11,OUT049,2363.65658
14,DRL59,OUT013,887.77772
15,FDM24,OUT049,2627.1136400000005
16,FDI57,OUT045,4259.4555
17,DRC12,OUT018,3544.9189400000005
18,NCM42,OUT027,2658.5394
19,FDA46,OUT010,572.9209000000001
20,FDA31,OUT013,2244.7447
21,NCJ31,OUT035,3471.0817199999997
22,FDG52,OUT046,650.68634
23,NCL19,OUT019,330.30337999999995
24,FDS10,OUT035,4053.2572400000004
25,FDX22,OUT010,689.83538
26,NCF19,OUT035,811.0109799999999
27,NCE06,OUT046,3593.7220799999996
28,DRC27,OUT046,3977.4892
29,FDE21,OUT035,1910.5130999999997
30,NCR42,OUT019,48.736560000000004
31,FDX51,OUT018,2589.6291
32,NCR06,OUT018,288.69088000000005
33,FDU31,OUT027,5585.3962
34,FDU59,OUT017,2325.57282
35,FDR03,OUT027,5220.93728
36,FDS49,OUT027,2363.59
37,FDD48,OUT010,235.29372000000004
38,NCF18,OUT017,3275.0702000000006
39,NCD43,OUT027,2469.71852
40,NCD54,OUT018,1951.7927
41,FDY19,OUT010,286.62690000000003
42,NCY54,OUT017,1867.16952
43,NCL19,OUT018,2396.7468400000002
44,FDP23,OUT010,546.7549599999999
45,FDC26,OUT013,1832.8142400000002
46,FDR14,OUT010,154.59876
47,NCS41,OUT035,3338.8538400000007
48,FDF41,OUT035,4863.46926
49,FDU34,OUT046,2394.01706
50,DRH11,OUT046,974.4648799999999
51,FDM03,OUT013,2713.40132
52,FDS31,OUT017,3012.61184
53,FDJ20,OUT017,1408.43332
54,FDV44,OUT027,3638.9299
55,FDG02,OUT049,2485.0985
56,FDA09,OUT013,3037.9788199999994
57,FDT04,OUT013,474.58224
58,FDL58,OUT019,658.6759400000001
59,FDE52,OUT045,1313.68998
60,FDW12,OUT035,2510.9981199999997
61,FDL51,OUT017,3771.22436
62,NCY42,OUT027,2810.40838
63,FDR07,OUT017,2063.9800000000005
64,FDN40,OUT045,3230.19528
65,FDB35,OUT027,3150.7653399999995
66,FDA22,OUT017,1846.9291999999998
67,NCL06,OUT046,4513.857679999999
68,FDI35,OUT013,3446.7134400000004
69,NCW42,OUT045,4648.14954
70,NCX06,OUT049,3146.17132
71,FDC37,OUT027,2251.5358600000004
72,FDZ14,OUT018,1580.20972
73,DRG49,OUT049,5389.184940000001
74,NCG06,OUT045,4274.16968
75,DRC36,OUT045,2697.1558
76,FDV21,OUT019,611.5373000000001
77,FDB53,OUT046,3038.24514
78,DRP47,OUT019,562.9339
79,FDA14,OUT013,1905.5861799999998
80,DRC24,OUT035,2240.94964
81,FDW21,OUT018,1129.59628
82,NCH29,OUT046,1375.94228
83,FDU58,OUT013,3613.1634400000003
84,FDY27,OUT017,1641.26358
85,FDV56,OUT035,1673.8211999999999
86,FDT59,OUT046,4782.50798
87,FDB23,OUT046,2769.3951
88,FDR49,OUT045,762.40758
