,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1404.4385199999997
1,FDW14,OUT017,1261.1583600000001
2,NCN55,OUT010,585.6376799999999
3,FDQ58,OUT017,2448.1466
4,FDY38,OUT027,6645.216640000001
5,FDH56,OUT046,1863.5742000000002
6,FDL48,OUT018,770.46376
7,FDC48,OUT027,1808.4459600000002
8,FDN33,OUT045,1732.7445
9,FDA36,OUT017,2833.3119000000006
10,FDT44,OUT017,1838.0074799999998
11,FDQ56,OUT045,1528.7433800000001
12,NCC54,OUT019,737.1737599999999
13,FDU11,OUT049,1676.0183399999999
14,DRL59,OUT013,724.9896200000001
15,FDM24,OUT049,2180.76132
16,FDI57,OUT045,4524.4439
17,DRC12,OUT018,3008.9499399999995
18,NCM42,OUT027,2407.0001599999996
19,FDA46,OUT010,386.03084
20,FDA31,OUT013,1809.77756
21,NCJ31,OUT035,3437.5254
22,FDG52,OUT046,892.43832
23,NCL19,OUT019,266.65289999999993
24,FDS10,OUT035,4086.54724
25,FDX22,OUT010,558.8725199999999
26,NCF19,OUT035,751.3552999999999
27,NCE06,OUT046,3412.62448
28,DRC27,OUT046,4427.2371
29,FDE21,OUT035,1497.3842000000002
30,NCR42,OUT019,67.04606000000001
31,FDX51,OUT018,2500.8779600000007
32,NCR06,OUT018,306.80064
33,FDU31,OUT027,6112.443480000001
34,FDU59,OUT017,2721.99014
35,FDR03,OUT027,4567.65432
36,FDS49,OUT027,2710.07232
37,FDD48,OUT010,230.76628
38,NCF18,OUT017,3478.87158
39,NCD43,OUT027,2473.5801599999995
40,NCD54,OUT018,1938.01064
41,FDY19,OUT010,254.40218000000004
42,NCY54,OUT017,2305.59882
43,NCL19,OUT018,2581.70608
44,FDP23,OUT010,822.12984
45,FDC26,OUT013,1470.5524599999999
46,FDR14,OUT010,172.7751
47,NCS41,OUT035,3697.32056
48,FDF41,OUT035,5039.7731
49,FDU34,OUT046,1658.6409599999995
50,DRH11,OUT046,650.2868599999999
51,FDM03,OUT013,2475.6441400000003
52,FDS31,OUT017,3000.0948000000003
53,FDJ20,OUT017,1686.4714
54,FDV44,OUT027,4860.73948
55,FDG02,OUT049,2390.6214800000002
56,FDA09,OUT013,4097.6660999999995
57,FDT04,OUT013,525.9820000000001
58,FDL58,OUT019,645.0936200000001
59,FDE52,OUT045,1680.2128799999998
60,FDW12,OUT035,2576.57942
61,FDL51,OUT017,2927.8555000000006
62,NCY42,OUT027,2359.2623
63,FDR07,OUT017,1845.73076
64,FDN40,OUT045,2695.75762
65,FDB35,OUT027,2568.6564000000003
66,FDA22,OUT017,2226.8346800000004
67,NCL06,OUT046,4078.8905400000003
68,FDI35,OUT013,3686.40144
69,NCW42,OUT045,3996.3313399999997
70,NCX06,OUT049,3163.7484400000003
71,FDC37,OUT027,2697.68844
72,FDZ14,OUT018,2021.2356399999996
73,DRG49,OUT049,5510.626859999999
74,NCG06,OUT045,3742.66154
75,DRC36,OUT045,3457.6991400000006
76,FDV21,OUT019,482.30552
77,FDB53,OUT046,3109.55232
78,DRP47,OUT019,532.90632
79,FDA14,OUT013,1888.3419600000002
80,DRC24,OUT035,2633.5053199999998
81,FDW21,OUT018,1101.3663600000002
82,NCH29,OUT046,1717.3645199999999
83,FDU58,OUT013,4460.327360000001
84,FDY27,OUT017,2638.69856
85,FDV56,OUT035,1439.7925
86,FDT59,OUT046,4763.06662
87,FDB23,OUT046,3494.9839399999996
88,FDR49,OUT045,750.2900199999998
89,FDB03,OUT010,666.06632
90,FDN39,OUT045,2907.8815
91,FDX02,OUT027,5796.188479999999
92,FDQ16,OUT027,2552.3442999999997
93,FDU35,OUT018,1586.2685
94,NCT29,OUT013,1057.82304
95,FDZ27,OUT046,897.63156
96,FDN57,OUT017,2682.3750400000004
97,FDA03,OUT018,1810.90942
98,FDZ36,OUT045,3023.86386
99,NCU05,OUT013,1213.95314
100,FDT39,OUT018,2146.40604
101,FDK60,OUT017,1449.4465999999998
102,FDZ25,OUT017,2942.76942
103,FDG12,OUT046,2944.10102
104,DRB01,OUT019,441.89146
105,NCC43,OUT027,5287.783600000001
106,FDX13,OUT019,490.16196
107,FDM22,OUT049,929.19048
108,FDJ03,OUT027,1296.57892
109,FDU14,OUT018,5566.35432
110,FDB33,OUT010,379.30626
111,FDP27,OUT046,2866.4687400000003
112,FDO38,OUT010,173.97354
113,FDE28,OUT027,6707.13604
114,FDO27,OUT035,1202.7011200000002
115,DRL23,OUT027,2198.40502
116,FDS28,OUT046,943.7715000000001
117,FDX24,OUT013,1121.5401000000002
118,FDZ02,OUT035,1565.69528
119,FDL46,OUT045,1620.8901
