,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1693.7952
1,FDW14,OUT017,1427.4752
2,NCN55,OUT010,697.0926
3,FDQ58,OUT017,612.536
4,FDY38,OUT027,7170.666
5,FDH56,OUT046,810.9444
6,FDL48,OUT018,729.051
7,FDC48,OUT027,1530.6742
8,FDN33,OUT045,2588.6304
9,FDA36,OUT017,2591.2936
10,FDT44,OUT017,2157.192
11,FDQ56,OUT045,1619.2256
12,NCC54,OUT019,723.0588
13,FDU11,OUT049,490.0288
14,DRL59,OUT013,556.6088
15,FDM24,OUT049,3325.0052
16,FDI57,OUT045,4532.7664
17,DRC12,OUT018,3099.9648
18,NCM42,OUT027,5351.0346
19,FDA46,OUT010,591.2304
20,FDA31,OUT013,2250.404
21,NCJ31,OUT035,1687.1372
22,FDG52,OUT046,874.8612
23,NCL19,OUT019,425.4462
24,FDS10,OUT035,1977.4260000000002
25,FDX22,OUT010,210.3928
26,NCF19,OUT035,850.8924
27,NCE06,OUT046,2693.8268
28,DRC27,OUT046,5896.3248
29,FDE21,OUT035,1540.6612
30,NCR42,OUT019,173.108
31,FDX51,OUT018,1370.2164
32,NCR06,OUT018,186.424
33,FDU31,OUT027,4432.2306
34,FDU59,OUT017,3914.9040000000005
35,FDR03,OUT027,3837.0054
36,FDS49,OUT027,3395.58
37,FDD48,OUT010,115.8492
38,NCF18,OUT017,3338.987
39,NCD43,OUT027,1743.0644
40,NCD54,OUT018,1701.7848
41,FDY19,OUT010,234.36160000000004
42,NCY54,OUT017,2812.3392
43,NCL19,OUT018,2719.7929999999997
44,FDP23,OUT010,229.701
45,FDC26,OUT013,1366.2216
46,FDR14,OUT010,114.5176
47,NCS41,OUT035,2776.386
48,FDF41,OUT035,6404.996
49,FDU34,OUT046,1120.5414
50,DRH11,OUT046,1113.2176
51,FDM03,OUT013,2679.845
52,FDS31,OUT017,2563.33
53,FDJ20,OUT017,490.0288
54,FDV44,OUT027,2253.0672
55,FDG02,OUT049,952.0939999999999
56,FDA09,OUT013,3568.688
57,FDT04,OUT013,796.9626
58,FDL58,OUT019,790.9704
59,FDE52,OUT045,2554.0088
60,FDW12,OUT035,2157.192
61,FDL51,OUT017,1929.4884
62,NCY42,OUT027,2127.231
63,FDR07,OUT017,3765.099
64,FDN40,OUT045,3251.7672
65,FDB35,OUT027,3858.9768
66,FDA22,OUT017,2840.9686
67,NCL06,OUT046,5233.188
68,FDI35,OUT013,4544.085
69,NCW42,OUT045,5321.0736
70,NCX06,OUT049,3969.4996
71,FDC37,OUT027,2327.6368
72,FDZ14,OUT018,1743.0644
73,DRG49,OUT049,7086.1094
74,NCG06,OUT045,4207.856
75,DRC36,OUT045,3067.3406
76,FDV21,OUT019,460.7336
77,FDB53,OUT046,3877.6192
78,DRP47,OUT019,529.9768
79,FDA14,OUT013,1725.7536
80,DRC24,OUT035,3506.7686
81,FDW21,OUT018,1565.9616
82,NCH29,OUT046,1263.6884
83,FDU58,OUT013,9069.5276
84,FDY27,OUT017,1239.7196
85,FDV56,OUT035,323.5788
86,FDT59,OUT046,2067.3089999999997
87,FDB23,OUT046,3197.1716
88,FDR49,OUT045,383.5008
89,FDB03,OUT010,484.7024
90,FDN39,OUT045,4604.6728
91,FDX02,OUT027,4474.1759999999995
92,FDQ16,OUT027,3057.3536
93,FDU35,OUT018,1897.53
94,NCT29,OUT013,371.5164
95,FDZ27,OUT046,236.359
96,FDN57,OUT017,3952.1888
97,FDA03,OUT018,2346.945
98,FDZ36,OUT045,1491.392
99,NCU05,OUT013,792.302
100,FDT39,OUT018,3129.26
101,FDK60,OUT017,1069.2748
102,FDZ25,OUT017,3735.138
103,FDG12,OUT046,1780.3492
104,DRB01,OUT019,189.0872
105,NCC43,OUT027,3297.7074
106,FDX13,OUT019,259.66200000000003
107,FDM22,OUT049,1104.5622
108,FDJ03,OUT027,1298.31
109,FDU14,OUT018,3795.06
110,FDB33,OUT010,649.8208
111,FDP27,OUT046,2527.3768
112,FDO38,OUT010,311.5944
113,FDE28,OUT027,7883.071999999999
114,FDO27,OUT035,952.0939999999999
115,DRL23,OUT027,1743.0644
116,FDS28,OUT046,999.3658
117,FDX24,OUT013,932.12
118,FDZ02,OUT035,868.8689999999999
119,FDL46,OUT045,579.246
120,FDS60,OUT027,1605.9096
121,NCO06,OUT017,199.74
122,FDO16,OUT035,1165.15
123,FDC60,OUT049,2833.6448
124,FDA48,OUT018,1656.5104
125,FDZ36,OUT027,4693.89
126,FDK27,OUT045,1557.9720000000002
127,FDW23,OUT018,564.5984
128,FDM14,OUT018,1857.582
129,FDM14,OUT013,2876.256
130,FDW60,OUT018,1422.1488
131,FDE21,OUT013,1066.6116
132,NCM42,OUT035,1788.3388
