,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1691.3899722244612
1,FDW14,OUT017,1477.5782701561632
2,NCN55,OUT010,3246.809709563794
3,FDQ58,OUT017,2515.709967120659
4,FDY38,OUT027,4104.1785141422715
5,FDH56,OUT046,1752.5058221542733
6,FDL48,OUT018,722.791616356952
7,FDC48,OUT027,1705.7754882916374
8,FDN33,OUT045,1586.0095843435233
9,FDA36,OUT017,3010.405743358177
10,FDT44,OUT017,1951.6499437327134
11,FDQ56,OUT045,1409.773328560663
12,NCC54,OUT019,3034.871447128989
13,FDU11,OUT049,1913.9073093268796
14,DRL59,OUT013,860.6037321664874
15,FDM24,OUT049,2393.7302441971383
16,FDI57,OUT045,3166.759064790116
17,DRC12,OUT018,2909.695840976154
18,NCM42,OUT027,2144.2615479529554
19,FDA46,OUT010,2501.2224512918547
20,FDA31,OUT013,2781.76980427464
21,NCJ31,OUT035,3741.482274396801
22,FDG52,OUT046,638.7328395947688
23,NCL19,OUT019,1508.9793069589389
24,FDS10,OUT035,2826.0436656235406
25,FDX22,OUT010,2772.488593762245
26,NCF19,OUT035,746.8871367465531
27,NCE06,OUT046,2401.0238665036954
28,DRC27,OUT046,3697.5589529662266
29,FDE21,OUT035,1835.6764684946088
30,NCR42,OUT019,-211.6607745135201
31,FDX51,OUT018,2977.169457153488
32,NCR06,OUT018,573.9803171571126
33,FDU31,OUT027,3864.912525626222
34,FDU59,OUT017,2656.9665932858716
35,FDR03,OUT027,3659.1591997139594
36,FDS49,OUT027,1700.221616810941
37,FDD48,OUT010,1262.3248777798317
38,NCF18,OUT017,3084.1861518400465
39,NCD43,OUT027,2046.5045391457274
40,NCD54,OUT018,2144.5340875538213
41,FDY19,OUT010,1312.0871127964383
42,NCY54,OUT017,2799.5903352682294
43,NCL19,OUT018,2172.2196653559804
44,FDP23,OUT010,2867.886629885026
45,FDC26,OUT013,1801.2145537310535
46,FDR14,OUT010,346.878081090486
47,NCS41,OUT035,2864.014402503988
48,FDF41,OUT035,3871.099923925122
49,FDU34,OUT046,1841.5272937253892
50,DRH11,OUT046,784.8884441847512
51,FDM03,OUT013,1709.592138590331
52,FDS31,OUT017,2951.238463231561
53,FDJ20,OUT017,2037.250292537377
54,FDV44,OUT027,3413.00740003867
55,FDG02,OUT049,2955.9555894223195
56,FDA09,OUT013,2871.2724489922784
57,FDT04,OUT013,645.7348658422624
58,FDL58,OUT019,3415.339702720351
59,FDE52,OUT045,1492.6498445797815
60,FDW12,OUT035,2290.0294474780117
61,FDL51,OUT017,3463.7353638711647
62,NCY42,OUT027,2636.963831591464
63,FDR07,OUT017,1616.939696839272
64,FDN40,OUT045,2446.8545725688637
65,FDB35,OUT027,1874.6455399564911
66,FDA22,OUT017,2682.440705351807
67,NCL06,OUT046,3975.341526681477
68,FDI35,OUT013,2872.0769054854522
69,NCW42,OUT045,3514.4264705368414
70,NCX06,OUT049,2807.2244014719404
71,FDC37,OUT027,2127.6956262690555
72,FDZ14,OUT018,1841.1196230218736
73,DRG49,OUT049,3825.5244870850233
74,NCG06,OUT045,4053.4653572247494
75,DRC36,OUT045,2797.6245822055484
76,FDV21,OUT019,1236.3488331523172
77,FDB53,OUT046,2207.4680160234857
78,DRP47,OUT019,3220.760047095217
79,FDA14,OUT013,2302.5419312336107
80,DRC24,OUT035,2387.580119044722
81,FDW21,OUT018,1511.2211037481557
82,NCH29,OUT046,1412.664134168919
83,FDU58,OUT013,3011.2426942523875
84,FDY27,OUT017,2859.365792953538
85,FDV56,OUT035,1741.1792359304957
86,FDT59,OUT046,3485.305290762552
87,FDB23,OUT046,3431.1872746790236
88,FDR49,OUT045,797.1698057063729
89,FDB03,OUT010,3271.187784681739
90,FDN39,OUT045,2676.3806112059665
91,FDX02,OUT027,3909.101862934502
92,FDQ16,OUT027,2120.023549356306
93,FDU35,OUT018,1467.5437169501522
94,NCT29,OUT013,1950.793118978107
95,FDZ27,OUT046,640.249876826791
96,FDN57,OUT017,2287.69573804274
97,FDA03,OUT018,2202.641744096622
98,FDZ36,OUT045,2985.684597943411
99,NCU05,OUT013,1313.2989231911495
100,FDT39,OUT018,2295.7615009391857
101,FDK60,OUT017,1637.19780591233
102,FDZ25,OUT017,2765.676576096495
103,FDG12,OUT046,1821.39239994275
104,DRB01,OUT019,2273.6107630336005
105,NCC43,OUT027,4335.72557148721
106,FDX13,OUT019,3169.750312996114
107,FDM22,OUT049,861.7653647050981
108,FDJ03,OUT027,1220.961861366566
109,FDU14,OUT018,3800.4906574995866
110,FDB33,OUT010,1972.0985064646784
111,FDP27,OUT046,2862.703401600365
112,FDO38,OUT010,686.8397245873291
113,FDE28,OUT027,4075.6634845622825
114,FDO27,OUT035,1518.2705437024645
115,DRL23,OUT027,2110.8376777216017
116,FDS28,OUT046,789.8016243809212
117,FDX24,OUT013,1491.0768076178053
118,FDZ02,OUT035,1529.2382673896525
119,FDL46,OUT045,1893.459049917727
120,FDS60,OUT027,3225.68522550635
121,NCO06,OUT017,608.6640861433112
122,FDO16,OUT035,1328.691672956625
123,FDC60,OUT049,1393.046109906402
124,FDA48,OUT018,3345.455980130983
125,FDZ36,OUT027,3368.7509018371065
126,FDK27,OUT045,1951.0295358556427
127,FDW23,OUT018,523.7417545788115
128,FDM14,OUT018,1640.381690441582
129,FDM14,OUT013,1741.2099804478
130,FDW60,OUT018,2711.0684749103025
131,FDE21,OUT013,1871.9691433620624
132,NCM42,OUT035,1708.2996476645774
133,FDY59,OUT010,950.0175031761291
134,DRI49,OUT049,1273.4894450573154
135,FDT28,OUT019,1647.4646603228882
136,FDQ22,OUT018,537.5340597130631
137,FDR60,OUT049,1201.0460558544125
138,FDC50,OUT019,773.055252068649
139,FDV24,OUT013,2411.7349529889257
140,DRF48,OUT010,2418.7930497019515
141,FDQ47,OUT046,488.5316379745384
142,DRN36,OUT049,1525.1194306846826
143,NCY06,OUT035,2006.6246866009815
144,FDE52,OUT035,1423.23301117835
145,NCB54,OUT045,2047.7898501518002
146,NCF31,OUT035,2380.2477828922933
147,FDJ08,OUT027,3405.1095940992864
148,NCC07,OUT017,1746.2905215320686
149,NCD19,OUT027,1274.30977643195
150,FDL46,OUT049,1863.955226553717
151,FDM20,OUT045,3912.897417082545
152,NCI06,OUT010,2288.9208860362896
153,DRM11,OUT035,4047.3025909085204
