Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1637.32902
FDW14,OUT017,1242.879008
NCN55,OUT010,476.7122023
FDQ58,OUT017,2428.525321
FDY38,OUT027,5712.661736
FDH56,OUT046,1820.812052
FDL48,OUT018,562.8238518
FDC48,OUT027,2181.92378
FDN33,OUT045,1422.953518
FDA36,OUT017,3005.171237
FDT44,OUT017,1822.959849
FDQ56,OUT045,1289.302398
NCC54,OUT019,492.5115576
FDU11,OUT049,2002.624122
DRL59,OUT013,749.808008
FDM24,OUT049,2416.375143
FDI57,OUT045,3193.489854
DRC12,OUT018,2726.901544
NCM42,OUT027,2641.367359
FDA46,OUT010,405.0046624
FDA31,OUT013,2800.48122
NCJ31,OUT035,3841.495063
FDG52,OUT046,739.9717476
NCL19,OUT019,267.4143347
FDS10,OUT035,2978.424882
FDX22,OUT010,423.0636381
NCF19,OUT035,766.6939637
NCE06,OUT046,2502.32713
DRC27,OUT046,3740.265066
FDE21,OUT035,1871.381057
NCR42,OUT019,36.79330729
FDX51,OUT018,2729.990529
NCR06,OUT018,414.9099566
FDU31,OUT027,5302.848862
FDU59,OUT017,2614.895023
FDR03,OUT027,5299.68878
FDS49,OUT027,2207.470001
FDD48,OUT010,213.7394852
NCF18,OUT017,3000.447367
NCD43,OUT027,2642.441977
NCD54,OUT018,1863.901227
FDY19,OUT010,215.8872814
NCY54,OUT017,2800.48122
NCL19,OUT018,2165.986333
FDP23,OUT010,447.5838495
FDC26,OUT013,1647.332919
FDR14,OUT010,91.45256178
NCS41,OUT035,3041.673144
FDF41,OUT035,3932.996663
FDU34,OUT046,2001.244828
DRH11,OUT046,852.1128636
FDM03,OUT013,1658.859611
FDS31,OUT017,2935.173433
FDJ20,OUT017,2001.244828
FDV44,OUT027,5014.082766
FDG02,OUT049,2985.036699
FDA09,OUT013,2823.327529
FDT04,OUT013,636.8912083
FDL58,OUT019,570.0473689
FDE52,OUT045,1319.40736
FDW12,OUT035,2457.478797
FDL51,OUT017,3278.024719
NCY42,OUT027,3434.198961
FDR07,OUT017,1510.534976
FDN40,OUT045,2368.569386
FDB35,OUT027,2406.918446
FDA22,OUT017,2613.51573
NCL06,OUT046,3956.644921
FDI35,OUT013,2935.173433
NCW42,OUT045,3502.520901
NCX06,OUT049,2812.631398
FDC37,OUT027,2632.173801
FDZ14,OUT018,1737.251608
DRG49,OUT049,3732.65713
NCG06,OUT045,3824.043725
DRC36,OUT045,2749.817439
FDV21,OUT019,333.8245945
FDB53,OUT046,2416.375143
DRP47,OUT019,479.1673312
FDA14,OUT013,2384.293437
DRC24,OUT035,2470.702153
FDW21,OUT018,1372.939938
NCH29,OUT046,1508.509304
FDU58,OUT013,3011.522927
FDY27,OUT017,2778.850106
FDV56,OUT035,1691.095733
FDT59,OUT046,3746.146113
FDB23,OUT046,3621.529695
FDR49,OUT045,718.7335327
FDB03,OUT010,551.0819257
FDN39,OUT045,2584.094026
FDX02,OUT027,5645.076878
FDQ16,OUT027,2635.124422
FDU35,OUT018,1375.494176
NCT29,OUT013,1999.219156
FDZ27,OUT046,720.3032723
FDN57,OUT017,1999.097032
FDA03,OUT018,2120.4881
FDZ36,OUT045,2959.360403
NCU05,OUT013,1270.447959
FDT39,OUT018,2156.015921
FDK60,OUT017,1510.534976
FDZ25,OUT017,2816.215174
FDG12,OUT046,2017.136379
DRB01,OUT019,405.0046624
NCC43,OUT027,5766.207242
FDX13,OUT019,520.9854692
FDM22,OUT049,784.8238428
FDJ03,OUT027,1288.13382
FDU14,OUT018,3518.849688
FDB33,OUT010,340.4954735
FDP27,OUT046,3016.632453
FDO38,OUT010,244.2683704
FDE28,OUT027,5701.670543
FDO27,OUT035,1473.428163
DRL23,OUT027,2646.031522
FDS28,OUT046,853.3527793
FDX24,OUT013,1465.64349
FDZ02,OUT035,1507.288552
FDL46,OUT045,1762.010524
FDS60,OUT027,4582.713252
NCO06,OUT017,603.2453233
FDO16,OUT035,1345.401697
FDC60,OUT049,1293.405852
FDA48,OUT018,3072.55364
FDZ36,OUT027,5039.076872
FDK27,OUT045,1897.682864
FDW23,OUT018,441.4154607
FDM14,OUT018,1375.691663
FDM14,OUT013,1652.502677
FDW60,OUT018,2533.776411
FDE21,OUT013,1828.129607
NCM42,OUT035,1690.021115
FDY59,OUT010,179.1208912
DRI49,OUT049,1291.431941
FDT28,OUT019,291.4545882
FDQ22,OUT018,419.5712926
FDR60,OUT049,1291.431941
FDC50,OUT019,174.368191
FDV24,OUT013,2416.375143
DRF48,OUT010,431.4668951
FDQ47,OUT046,616.1562635
DRN36,OUT049,1508.38718
NCY06,OUT035,2042.348482
FDE52,OUT035,1370.780164
NCB54,OUT045,1940.417627
NCF31,OUT035,2457.478797
FDJ08,OUT027,5016.230563
NCC07,OUT017,1620.664745
NCD19,OUT027,1460.06113
FDL46,OUT049,1827.658058
FDM20,OUT045,3713.269077
NCI06,OUT010,359.6277025
DRM11,OUT035,4130.603914
NCH07,OUT018,2315.496887
FDS23,OUT013,2002.624122
FDO49,OUT018,533.6929862
FDS35,OUT049,999.6144895
DRK39,OUT045,1201.864919
DRI39,OUT049,782.7208394
FDV04,OUT017,2502.32713
NCN14,OUT035,3082.970524
FDH08,OUT013,3786.36858
FDS20,OUT046,3038.910083
FDV40,OUT049,1158.907506
FDZ48,OUT010,261.2568617
FDS24,OUT027,2238.34898
FDK44,OUT049,2800.48122
FDS48,OUT045,2378.82906
FDK26,OUT010,407.5152607
FDD23,OUT045,2949.783586
NCH54,OUT017,2502.32713
NCP14,OUT010,207.155044
FDM60,OUT010,72.83784039
FDV24,OUT017,2416.375143
FDH08,OUT018,3322.420027
FDS12,OUT027,3319.9945
FDR39,OUT027,4841.065767
FDP12,OUT027,972.7815336
DRF60,OUT027,5737.449685
FDC09,OUT035,1690.021115
FDF50,OUT018,2772.109669
FDG28,OUT035,3904.365381
NCE19,OUT017,850.7856506
NCM53,OUT010,242.4595915
NCN18,OUT049,1647.372734
FDF32,OUT035,3296.351824
FDF11,OUT013,3746.146113
DRI59,OUT049,3607.079894
NCG54,OUT035,2842.393865
FDM44,OUT046,1637.576107
FDT57,OUT018,3282.197559
FDV24,OUT046,2416.375143
FDI50,OUT019,494.9000322
FDS09,OUT035,784.3363731
NCC31,OUT027,3863.999494
FDQ07,OUT019,467.2610722
FDC22,OUT017,3000.447367
FDZ56,OUT046,2811.55678
FDZ40,OUT019,113.6769046
FDS46,OUT027,2587.69283
DRD24,OUT045,2068.647894
FDV45,OUT017,2998.299571
FDL26,OUT045,2362.232009
FDA56,OUT018,1776.531458
FDN27,OUT046,1818.134642
FDM20,OUT049,3772.070606
FDO16,OUT017,1286.168518
FDL03,OUT035,3052.096966
FDE58,OUT046,1820.812052
FDI02,OUT027,2657.555016
NCC55,OUT019,83.0795436
FDR03,OUT018,2988.444375
FDB14,OUT017,1465.132126
FDR45,OUT013,3745.071495
NCN07,OUT017,1999.097032
FDM51,OUT019,186.8169908
FDT52,OUT027,5737.449685
FDL26,OUT046,2421.033538
NCZ42,OUT046,3739.927729
DRI47,OUT019,307.6799416
FDW40,OUT013,2132.547841
FDN34,OUT046,2823.327529
FDS01,OUT035,2860.541242
NCG55,OUT045,1762.010524
FDC11,OUT035,1299.632992
FDX35,OUT018,3215.052213
NCB06,OUT046,2502.449253
FDR09,OUT019,570.0473689
