,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1661.9383870963632
1,FDW14,OUT017,1400.1640961840421
2,NCN55,OUT010,502.21518190246644
3,FDQ58,OUT017,2543.5773722749263
4,FDY38,OUT027,5939.797027452008
5,FDH56,OUT046,1886.160624966703
6,FDL48,OUT018,590.0738567982187
7,FDC48,OUT027,2212.726440575669
8,FDN33,OUT045,1487.914153616256
9,FDA36,OUT017,3287.66024963516
10,FDT44,OUT017,1898.7434835242957
11,FDQ56,OUT045,1304.0739821920367
12,NCC54,OUT019,549.8200210940666
13,FDU11,OUT049,2039.7619899833082
14,DRL59,OUT013,794.839873940532
15,FDM24,OUT049,2480.880257127583
16,FDI57,OUT045,3313.886820169165
17,DRC12,OUT018,2832.540892068016
18,NCM42,OUT027,2819.6611433412268
19,FDA46,OUT010,465.3465199979391
20,FDA31,OUT013,2821.360302449173
21,NCJ31,OUT035,3852.768038075418
22,FDG52,OUT046,757.9302337892335
23,NCL19,OUT019,353.8488503647998
24,FDS10,OUT035,3074.269311863934
25,FDX22,OUT010,603.9905292849287
26,NCF19,OUT035,856.1370970029396
27,NCE06,OUT046,2576.763670323984
28,DRC27,OUT046,3855.1389427864106
29,FDE21,OUT035,1999.7243186043988
30,NCR42,OUT019,9.453700786427714
31,FDX51,OUT018,2837.416571153697
32,NCR06,OUT018,475.21962324397964
33,FDU31,OUT027,5519.990356702771
34,FDU59,OUT017,2618.7648126130116
35,FDR03,OUT027,5501.288768071367
36,FDS49,OUT027,2226.9620035420203
37,FDD48,OUT010,276.52183782917535
38,NCF18,OUT017,3157.9671477461175
39,NCD43,OUT027,2697.8077657014146
40,NCD54,OUT018,1895.0256303826322
41,FDY19,OUT010,283.50847651694846
42,NCY54,OUT017,2806.1883935551837
43,NCL19,OUT018,2214.3321976998122
44,FDP23,OUT010,596.3310062778736
45,FDC26,OUT013,1828.7803840303707
46,FDR14,OUT010,79.94239502249557
47,NCS41,OUT035,3231.9323216957678
48,FDF41,OUT035,3813.4892582448238
49,FDU34,OUT046,2001.4770526501802
50,DRH11,OUT046,887.6273121157068
51,FDM03,OUT013,1653.5738133830828
52,FDS31,OUT017,3019.92699024686
53,FDJ20,OUT017,2043.4857298896902
54,FDV44,OUT027,5282.596839471385
55,FDG02,OUT049,3192.593342869017
56,FDA09,OUT013,3072.085179128516
57,FDT04,OUT013,646.4980738361543
58,FDL58,OUT019,444.5162919709137
59,FDE52,OUT045,1291.286300223945
60,FDW12,OUT035,2584.2621951007127
61,FDL51,OUT017,3573.1283806139754
62,NCY42,OUT027,3338.830357924215
63,FDR07,OUT017,1545.1991367659125
64,FDN40,OUT045,2383.7177883206755
65,FDB35,OUT027,2513.529784034743
66,FDA22,OUT017,2618.7648126130116
67,NCL06,OUT046,3993.6329140431003
68,FDI35,OUT013,2995.9324152636914
69,NCW42,OUT045,3599.736065468917
70,NCX06,OUT049,3182.0236711053317
71,FDC37,OUT027,2702.1206548383507
72,FDZ14,OUT018,1770.2666091935282
73,DRG49,OUT049,3946.338260931527
74,NCG06,OUT045,3682.57000913109
75,DRC36,OUT045,2809.7671835451406
76,FDV21,OUT019,321.4735249343408
77,FDB53,OUT046,2437.7196407087727
78,DRP47,OUT019,618.0647468736777
79,FDA14,OUT013,2457.394101219328
80,DRC24,OUT035,2601.6685560274727
81,FDW21,OUT018,1398.1767572906708
82,NCH29,OUT046,1496.5149687638334
83,FDU58,OUT013,3152.1319491720483
84,FDY27,OUT017,2984.6311244443796
85,FDV56,OUT035,1721.8112044151505
86,FDT59,OUT046,3919.896274071541
87,FDB23,OUT046,3668.0539986082745
88,FDR49,OUT045,792.2626739153501
89,FDB03,OUT010,547.0651178249382
90,FDN39,OUT045,2669.5045749384444
91,FDX02,OUT027,5712.808961179943
92,FDQ16,OUT027,2734.1300129805954
93,FDU35,OUT018,1377.480456341224
94,NCT29,OUT013,2021.1515131607355
95,FDZ27,OUT046,764.4472818649066
96,FDN57,OUT017,2143.6657202808738
97,FDA03,OUT018,2206.5091972521186
98,FDZ36,OUT045,2981.3368891902
99,NCU05,OUT013,1280.0945086629226
100,FDT39,OUT018,2187.472257753493
101,FDK60,OUT017,1550.0748158515937
102,FDZ25,OUT017,2780.7080676586766
103,FDG12,OUT046,2023.297036862882
104,DRB01,OUT019,472.9771023527488
105,NCC43,OUT027,6075.835401771007
106,FDX13,OUT019,761.3950509261726
107,FDM22,OUT049,862.4749502387741
108,FDJ03,OUT027,1360.5616010313206
109,FDU14,OUT018,3620.1453801583884
110,FDB33,OUT010,406.09713636970827
111,FDP27,OUT046,3121.877292001178
112,FDO38,OUT010,293.5634600321983
113,FDE28,OUT027,5934.281586773617
114,FDO27,OUT035,1531.995465171878
115,DRL23,OUT027,2702.675909836613
116,FDS28,OUT046,912.1774517119434
117,FDX24,OUT013,1478.0631329727328
118,FDZ02,OUT035,1616.0168250466684
119,FDL46,OUT045,1800.6219942945954
120,FDS60,OUT027,4794.2231567096915
121,NCO06,OUT017,631.4029324165979
122,FDO16,OUT035,1439.0232546365407
123,FDC60,OUT049,1372.7120514118071
124,FDA48,OUT018,3135.485981356305
125,FDZ36,OUT027,5235.986947596832
126,FDK27,OUT045,1971.7090642093242
127,FDW23,OUT018,470.9881732542303
128,FDM14,OUT018,1594.8381964092816
129,FDM14,OUT013,1672.200265718286
130,FDW60,OUT018,2644.834794777025
131,FDE21,OUT013,1910.9217747035925
132,NCM42,OUT035,1733.4811010231183
133,FDY59,OUT010,279.08640113053946
134,DRI49,OUT049,1296.873984301667
135,FDT28,OUT019,330.1900336425108
136,FDQ22,OUT018,468.8766191694804
137,FDR60,OUT049,1321.4370486070143
138,FDC50,OUT019,302.04670798000393
139,FDV24,OUT013,2457.394101219328
140,DRF48,OUT010,472.8100535678665
141,FDQ47,OUT046,631.3387272161257
142,DRN36,OUT049,1521.8514743317774
143,NCY06,OUT035,2121.7457817159448
144,FDE52,OUT035,1464.2950843013411
145,NCB54,OUT045,1968.5122205037799
146,NCF31,OUT035,2539.0815245418557
147,FDJ08,OUT027,5249.2709517355015
148,NCC07,OUT017,1722.3502027005316
149,NCD19,OUT027,1663.0028491308328
150,FDL46,OUT049,1902.6285664649822
151,FDM20,OUT045,3890.310669102553
152,NCI06,OUT010,413.43054093623044
153,DRM11,OUT035,4338.875513797762
154,NCH07,OUT018,2313.0602246211097
155,FDS23,OUT013,2105.0293976077587
156,FDO49,OUT018,587.962302713469
157,FDS35,OUT049,1074.4181585748217
158,DRK39,OUT045,1291.565110660772
159,DRI39,OUT049,934.8575986867193
160,FDV04,OUT017,2619.913925237316
161,NCN14,OUT035,3191.8792781077937
162,FDH08,OUT013,4241.67674266593
163,FDS20,OUT046,3101.911606442725
164,FDV40,OUT049,1142.0346180751908
165,FDZ48,OUT010,356.00329725793284
166,FDS24,OUT027,2404.901168731428
167,FDK44,OUT049,2854.8608204756774
168,FDS48,OUT045,2407.951652267918
169,FDK26,OUT010,475.12446084611855
170,FDD23,OUT045,3387.6946393445123
171,NCH54,OUT017,2642.061092195428
172,NCP14,OUT010,333.77121727814244
173,FDM60,OUT010,62.61572068370461
174,FDV24,OUT017,2474.852638862602
175,FDH08,OUT018,3394.3222625662493
176,FDS12,OUT027,3286.3281310070865
177,FDR39,OUT027,4793.900244763234
178,FDP12,OUT027,1040.2998261366004
179,DRF60,OUT027,6025.9322876251235
180,FDC09,OUT035,1763.909818321461
181,FDF50,OUT018,2826.2683096055766
182,FDG28,OUT035,3872.733705159026
183,NCE19,OUT017,925.4143989778295
184,NCM53,OUT010,356.00329725793284
185,NCN18,OUT049,1894.914576098
186,FDF32,OUT035,3301.4177657306536
187,FDF11,OUT013,3929.686645798583
188,DRI59,OUT049,3801.236787256216
189,NCG54,OUT035,2729.4647871038555
190,FDM44,OUT046,1629.8722407469556
191,FDT57,OUT018,3399.261736353012
192,FDV24,OUT046,2437.7196407087727
193,FDI50,OUT019,669.8717791988712
194,FDS09,OUT035,812.8794448706608
195,NCC31,OUT027,3779.5914781564875
196,FDQ07,OUT019,560.0180537202667
197,FDC22,OUT017,3167.7109709669967
198,FDZ56,OUT046,2707.524405381523
199,FDZ40,OUT019,70.77815927493498
200,FDS46,OUT027,2988.580984713341
201,DRD24,OUT045,2084.5912534980116
202,FDV45,OUT017,3208.1511683309905
203,FDL26,OUT045,2396.049453578298
204,FDA56,OUT018,1778.0896096412207
205,FDN27,OUT046,1880.3290643204652
206,FDM20,OUT049,4051.0401703099906
207,FDO16,OUT017,1407.3985181428657
208,FDL03,OUT035,3273.8419940544045
209,FDE58,OUT046,1854.6238466826933
210,FDI02,OUT027,3008.6386493349664
211,NCC55,OUT019,51.98923487641434
212,FDR03,OUT018,3118.068677367819
213,FDB14,OUT017,1506.2119668836376
214,FDR45,OUT013,3935.588232780937
215,NCN07,OUT017,2179.1025676188515
216,FDM51,OUT019,357.02449032701384
217,FDT52,OUT027,6054.946058130636
218,FDL26,OUT046,2450.0513059663954
219,NCZ42,OUT046,3882.647319308725
220,DRI47,OUT019,350.566895130554
221,FDW40,OUT013,2149.231280738256
222,FDN34,OUT046,2824.4427380265756
223,FDS01,OUT035,3066.567723829635
224,NCG55,OUT045,1816.6874680959445
225,FDC11,OUT035,1436.2869886803642
226,FDX35,OUT018,3201.3553033057356
227,NCB06,OUT046,2577.905247997806
228,FDR09,OUT019,782.8239109730835
229,FDC53,OUT017,1591.4354546054426
230,FDY45,OUT013,4166.663668143093
231,FDA22,OUT010,422.24414350971256
232,FDE02,OUT035,1551.0354687784866
233,FDW21,OUT045,1582.882523302641
234,FDV34,OUT046,1113.1048914931719
235,FDS59,OUT049,1681.232375152717
236,NCW17,OUT017,2147.121361635344
237,NCK54,OUT046,1865.6942759803758
238,FDG17,OUT019,620.5025152557524
239,FDG35,OUT017,3071.2506648550984
240,FDD08,OUT010,74.7275817716199
241,NCO07,OUT017,3854.6028883742874
242,FDJ10,OUT010,340.48372981251896
243,FDW36,OUT017,1679.231089185518
244,FDW21,OUT010,352.4138335290122
245,FDY19,OUT017,1977.635844334154
246,DRE03,OUT013,775.3582443841028
247,NCC55,OUT049,729.5616654902291
248,FDH52,OUT010,147.7900304906437
249,FDO09,OUT017,4734.816354463725
250,FDU43,OUT045,3860.3144111202314
251,FDX09,OUT010,445.7420251305855
252,FDH40,OUT019,252.40129477341554
253,FDW58,OUT017,1717.0464078677946
254,FDC47,OUT017,3885.6819892071644
255,NCR41,OUT035,1623.0601910991177
256,DRG49,OUT035,4020.8860520783605
257,FDC52,OUT027,3747.2366874710565
258,FDY13,OUT046,1130.7210827678075
259,FDY35,OUT013,657.8364032138496
260,FDI35,OUT017,3251.4592823913795
261,NCU18,OUT049,2206.8282945966994
262,FDY33,OUT018,2322.804047841989
263,FDC15,OUT027,4049.3610970371265
264,FDU01,OUT049,3300.200209877824
265,NCU42,OUT046,2702.656261246325
266,NCV29,OUT018,2638.5591920761135
267,NCY30,OUT017,3236.8638201263775
268,FDQ46,OUT049,1835.059195595321
269,FDG58,OUT027,3749.96684285459
270,FDK33,OUT017,3658.5304214928
271,NCD07,OUT045,1795.7538501593965
272,NCX29,OUT027,3745.091163768909
273,NCT42,OUT013,2491.8944156069065
274,DRN59,OUT035,855.0434480607273
275,FDI44,OUT035,1333.2256432696317
276,FDA45,OUT049,2953.825116664682
277,FDP31,OUT045,1059.100378479285
278,FDY01,OUT046,1898.4922902243254
279,FDT09,OUT018,1835.1075541419254
280,DRH03,OUT027,2612.295525479461
281,FDA36,OUT018,2812.8416504120587
282,NCF31,OUT017,2491.162279757245
283,FDG14,OUT049,2482.0104285305792
284,FDG28,OUT027,6448.923955254112
285,FDU14,OUT049,4165.565104372278
286,FDY47,OUT019,305.55413985606083
287,FDI56,OUT049,1393.032189264906
288,DRD01,OUT013,893.0509588462742
289,FDM22,OUT046,911.9614617734139
290,FDH33,OUT013,646.4980738361543
291,DRZ24,OUT013,1881.2849458810217
292,NCQ38,OUT046,1640.1941399501081
293,FDO16,OUT027,2363.422595827285
294,FDU07,OUT027,3930.8106424462953
295,NCB07,OUT013,3123.7045615058555
296,FDU48,OUT045,2024.366446021333
297,NCM43,OUT045,2562.2268208926375
298,FDR31,OUT010,260.3445653335141
299,DRK49,OUT018,468.8766191694804
300,NCI30,OUT010,479.7259950088446
301,DRD60,OUT017,3026.3500670793233
302,NCG19,OUT046,3765.756232342397
303,FDH12,OUT035,1670.993837997593
304,FDM32,OUT035,1577.2286717478491
305,FDM27,OUT035,2502.315483958476
306,NCU53,OUT027,4141.177661268437
307,NCQ18,OUT046,1580.5410763739508
308,FDS10,OUT013,2948.774807288382
309,FDB33,OUT027,4234.92603261241
310,FDI12,OUT013,1354.1015745892344
311,NCW42,OUT013,3691.1557480283423
312,NCC06,OUT018,1799.8452008202617
313,FDW02,OUT017,2128.124021186979
314,NCD43,OUT017,1712.1782637325957
315,FDM57,OUT018,1140.0448577031918
316,FDA58,OUT017,3823.3173821463697
317,FDK56,OUT046,3108.8982451304983
318,FDP52,OUT045,4283.990264333722
319,FDW20,OUT018,1776.6896860259903
320,FDS52,OUT049,1661.9383870963632
321,NCT29,OUT018,1708.015922070679
322,NCL54,OUT013,2816.492158313975
323,FDC05,OUT045,2968.735384750897
324,FDF34,OUT035,3231.3291089543695
325,FDP03,OUT027,3254.6646894169958
326,FDD32,OUT010,238.805714767763
327,FDZ10,OUT045,1999.7327231387947
328,FDZ40,OUT035,982.0703362023445
329,FDD51,OUT018,468.5113792724528
330,NCY30,OUT019,410.2670284074697
331,FDP58,OUT017,3561.534058995007
332,FDV49,OUT017,3788.74091568527
333,FDY24,OUT019,106.4208530964091
334,NCO55,OUT017,1658.0533041556766
335,FDR13,OUT017,1964.4309764701907
336,FDS51,OUT017,1014.8315549034813
337,FDP26,OUT045,1606.745855215239
338,NCB54,OUT027,3238.8086065456796
339,FDF32,OUT017,3190.9997155989304
340,FDN31,OUT018,2804.0906834178118
341,DRM48,OUT017,636.2710765517966
342,FDN20,OUT049,2760.699383918583
343,DRL01,OUT046,4247.221762718964
344,FDV56,OUT049,1635.078447150044
345,DRH13,OUT027,2713.038904710923
346,FDA03,OUT017,2525.0441943979577
347,FDF47,OUT027,5652.62526800041
348,FDX32,OUT046,2462.269780305009
349,FDX57,OUT049,1555.621421890365
350,NCA30,OUT045,3039.20274738566
351,FDO49,OUT013,769.315673597212
352,FDL04,OUT019,338.63936141334125
353,DRM48,OUT035,637.4262525286706
354,FDR16,OUT013,3464.810162572905
355,NCC19,OUT018,2829.7868147428285
356,NCE42,OUT045,3806.130497558631
357,FDY24,OUT017,935.1582221987094
358,FDH19,OUT049,2883.3110291258818
359,FDJ46,OUT013,2838.511755181233
360,FDN45,OUT010,593.2363208074901
361,FDY08,OUT035,2120.8682810916653
362,FDZ37,OUT035,1475.0145396385562
363,NCT30,OUT045,739.5801777700099
364,DRY23,OUT018,503.8770134814563
365,NCZ30,OUT018,1771.8215418907914
366,FDC44,OUT018,1697.667158117576
367,FDB45,OUT035,1759.0341392357798
368,FDY04,OUT013,2536.9035810784503
369,FDM27,OUT046,2734.192039165635
370,FDZ43,OUT017,4012.0029220690326
371,FDT39,OUT019,355.99782921449724
372,NCC06,OUT019,340.80900455773633
373,FDL15,OUT027,3762.2426165009692
374,FDL57,OUT017,4353.030545024653
375,FDU08,OUT046,1486.7483245589428
376,FDK40,OUT017,3840.121556638924
377,FDQ12,OUT010,716.573382695972
378,FDS48,OUT017,2533.064417165399
379,FDP09,OUT045,3311.372298640371
380,FDW21,OUT049,1591.5821754859824
381,FDY25,OUT035,3086.6009771215568
382,DRE13,OUT017,1396.885563033339
383,FDV43,OUT019,56.857379011613105
384,FDD22,OUT045,1742.772405874095
385,FDM46,OUT019,233.52052849680314
386,NCO30,OUT010,499.4040695781653
387,FDM25,OUT046,2826.235981534854
388,NCN41,OUT049,2032.775351295535
389,FDU24,OUT045,1453.259147515303
390,FDZ50,OUT046,3133.4483847267347
391,FDP45,OUT013,4357.210909625163
392,NCM54,OUT045,1963.644076368581
393,FDW10,OUT019,445.7420251305855
394,FDP20,OUT017,2111.9495861831538
395,FDK32,OUT046,2504.2813030057932
396,FDN52,OUT049,1372.7120514118071
397,FDM58,OUT045,1847.3421202340946
398,FDZ46,OUT027,2981.163996736756
399,NCA18,OUT018,1633.7535912174078
400,FDD35,OUT046,2040.845511172956
401,NCK31,OUT035,862.6023870731161
402,FDI40,OUT027,2688.277754974032
403,FDT50,OUT019,277.07775888240207
404,NCT06,OUT046,2605.2138789741884
405,FDT31,OUT035,3258.1890489006887
406,FDT45,OUT049,853.2828226501758
407,FDT13,OUT045,3042.6078449903735
408,FDO50,OUT045,1332.0173711965822
409,NCU18,OUT010,338.3704889464486
410,NCR54,OUT049,3346.1180646266766
411,NCO18,OUT018,2633.6910479409153
412,FDU09,OUT045,889.0549612286729
413,FDT13,OUT018,2886.871794961183
414,FDE09,OUT046,1826.4110870847637
415,NCK53,OUT019,334.9973585092723
416,FDG45,OUT049,3526.6069492847532
417,DRH15,OUT035,682.0556061598825
418,FDO21,OUT019,635.9096647991399
419,FDD14,OUT027,5132.8054474683695
420,FDC09,OUT046,1675.1072744206547
421,FDH45,OUT027,1152.1602501538578
422,FDV32,OUT046,1036.1332212416937
423,FDG12,OUT035,1962.5013837837696
424,FDS32,OUT013,2128.5886411387532
425,NCL55,OUT018,3576.2897868132577
426,DRE01,OUT035,3880.530340477483
427,DRE15,OUT049,1309.314290046715
428,NCL42,OUT045,3847.9151273134653
429,FDP31,OUT013,1041.5568679722612
430,FDN33,OUT018,1271.309467602314
431,FDZ59,OUT046,2606.181954055419
432,FDE45,OUT010,370.13976543324713
433,FDJ07,OUT013,1900.5587798292825
434,FDQ45,OUT018,2807.0808757369273
435,FDM33,OUT027,5336.180410909225
436,FDO15,OUT010,206.11819201947083
437,FDM46,OUT013,1471.54608489706
438,FDR03,OUT045,3353.9509250206133
439,FDY49,OUT018,2384.819839643002
440,FDQ60,OUT045,1822.5181939793597
441,FDW10,OUT049,2867.3255939372707
442,FDO51,OUT049,686.3861346415626
443,FDJ40,OUT018,1402.8072350696689
444,FDS20,OUT018,2797.1040447300384
445,FDU45,OUT013,1840.0429768084282
446,FDV02,OUT035,2781.3726135148013
447,FDN09,OUT046,3925.680416475272
448,NCM55,OUT027,5120.473782210747
449,FDN23,OUT018,2189.3577445200585
450,FDY31,OUT010,286.9418952534902
451,FDW03,OUT010,390.60097468719744
452,FDD14,OUT046,3121.229910388121
453,FDV23,OUT017,2066.633709733479
454,DRI03,OUT045,2712.981416405788
455,FDN13,OUT035,1616.0468854179305
456,FDF45,OUT027,1808.95629550701
457,FDU46,OUT035,1412.1633146902216
458,FDB57,OUT049,3873.757926364759
459,FDV12,OUT049,1671.375123845032
460,FDQ58,OUT013,2486.3995648677947
461,NCA18,OUT017,1915.053124418938
462,FDH52,OUT049,969.9762762480328
463,FDM24,OUT018,2197.4310916822196
464,NCP43,OUT027,4799.604762337866
465,NCO18,OUT019,402.7389924313018
466,FDM32,OUT017,1448.2885068930732
467,NCL07,OUT017,655.1084162984399
468,FDK03,OUT013,4072.432587834336
469,FDP59,OUT017,1684.1067682711991
470,FDQ24,OUT049,4203.233362984682
471,FDQ16,OUT018,1455.6461317640046
472,FDU44,OUT013,2595.468748906269
473,FDH28,OUT010,63.70660926910437
474,FDV28,OUT019,28.36175975486829
475,FDM22,OUT045,886.384771043817
476,FDR56,OUT046,3133.4483847267347
477,FDV39,OUT049,3184.476532778247
478,FDU37,OUT019,294.0077948597877
479,FDQ11,OUT010,794.9555976714462
